TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,347,347,PA,Iona National Park,Parque Nacional do Iona,National Park,National Park,National,II,Not Applicable,Terrestrial,25.28,14.2664841285627,15150,15174.4405573639,Not Applicable,0,Designated,1964,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,348,348,PA,Quiçãma National Park,Parque Nacional da Quiçama,National Park,National Park,National,II,Not Applicable,Terrestrial,28.44,1.64406174323456,9960,9229.34584399058,Not Applicable,0,Designated,1957,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,349,349,PA,Cameia National Park,Parque Nacional da Cameia,National Park,National Park,National,II,Not Applicable,Terrestrial,0,0,14450,14510.1191857463,Not Applicable,0,Designated,1938,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,350,350,PA,Bicuar National Park,Parque Nacional do Bicuar,National Park,National Park,National,II,Not Applicable,Terrestrial,0,0,7900,6751.98640050913,Not Applicable,0,Designated,1964,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,351,351,PA,Cangandala National Park,Parque Nacional da Cangandala,National Park,National Park,National,II,Not Applicable,Terrestrial,0,0,630,637.915439787998,Not Applicable,0,Designated,1970,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1822,AGO,AGO,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,597,597,PA,Boucle de la Pendjari,Boucle de la Pendjari,National Park,National Park,National,II,Not Applicable,Terrestrial,0,0,2755,2827.02310387161,Not Applicable,0,Designated,1961,Not Reported,Not Applicable,State,Not Applicable,Not Reported,Not Reported,State Verified,6,BEN,BEN,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,600,600,PA,Chobe,Chobe,National Park,National Park,National,Ib,Not Applicable,Terrestrial,0,0,11000,10505.3946120993,Not Applicable,0,Designated,1968,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Department of Wildlife and National Parks,Not Reported,State Verified,1738,BWA,BWA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,601,601,PA,Nxai Pan,Nxai Pan,National Park,National Park,National,Ib,Not Applicable,Terrestrial,0,0,2576,2589.36342713423,Not Applicable,0,Designated,1971,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Department of Wildlife and National Parks,Not Reported,State Verified,1738,BWA,BWA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,606,606,PA,Bouba Ndjida,Bouba Ndjida,Parc National,National Park,National,II,Not Applicable,Terrestrial,0,0,2200,2115.47176412852,Not Applicable,0,Designated,1968,Federal or national ministry or agency,Not Applicable,State,Not Applicable,State,Available 2010,State Verified,1957,CMR,CMR,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,607,607,PA,Bénoué,Bénoué,Parc National,National Park,National,II,Not Applicable,Terrestrial,0,0,1800,1980.33686048121,Not Applicable,0,Designated,1968,Federal or national ministry or agency,Not Applicable,State,Not Applicable,State/WWF,Available 2002,State Verified,1957,CMR,CMR,Not Applicable,Not Applicable,Not Reported,Not Applicable
